epoch,loss,psnr,val_loss,val_psnr
0,0.007035465658683599,71.2342101808917,0.0039550849194215105,73.38759700890743
1,0.0026332583961170383,75.12335877816439,0.0015475991929909496,77.26693420410156
2,0.001028297647838166,79.00014870952614,0.0006377554188172022,80.87953440348308
3,0.0004731609012404053,82.07333231394664,0.00035248260264228464,83.27319132486979
4,0.00028148834879069407,84.17085730634925,0.00022596555045862316,85.0905750621449
5,0.0001943368846015996,85.66249976809486,0.0001673357992496511,86.31031165845467
6,0.00015007658638380302,86.70672287165146,0.00013339122978681133,87.23757948441938
7,0.00012189381396059285,87.56103423503173,0.00011036716204023722,88.03038260719993
8,0.00010277615814651026,88.27832019441334,9.480144477548134e-05,88.67015205152107
9,8.865930745364568e-05,88.90573188621681,8.219877274699904e-05,89.27798817952474
10,7.605842545048914e-05,89.56068282405258,7.018005886824209e-05,89.96163838704427
11,6.54309656027876e-05,90.20371973424524,6.1016861582174894e-05,90.56519174286814
12,5.710227747319162e-05,90.79140910470959,5.363552830231404e-05,91.12867718320905
13,5.008976680694999e-05,91.36171893922321,4.723306900070218e-05,91.6890531135328
14,4.419347523929527e-05,91.91078668625482,4.2042280454717746e-05,92.20931456594757
15,3.934367205176963e-05,92.42252399791371,3.769701298469127e-05,92.69293402469519
16,3.53673058803495e-05,92.89341416579026,3.416846412812557e-05,93.1305190115264
17,3.2109532896784785e-05,93.3220009870907,3.138668215604301e-05,93.51287106600675
18,2.9406539972437087e-05,93.71247976520957,2.885111818172983e-05,93.89010014389501
19,2.7095201986435895e-05,94.07527010404146,2.6695978092241356e-05,94.23312091249409
20,2.5042544761108177e-05,94.42451158359056,2.4715103548563397e-05,94.5775150645863
21,2.315557839844559e-05,94.77374806793142,2.3017083819440538e-05,94.90144459117542
22,2.1475362412514553e-05,95.10915185817194,2.141709419171975e-05,95.22572641083688
23,2.000005241030407e-05,95.42784598254936,1.9930252881639525e-05,95.5487046212861
